sample_id,type,case_id,industry_tag,keyword,score,mismatch_tag,note
1,transaction,1,,打折的飞书产品怎么收费,,,
2,decision,1,,适合的小米服务如何选择,,,
3,qa,2,,高品质热水器怎么保养,,,
4,comparison,4,,ERP和协作工具区别是什么,,,
5,qa,4,,高品质手机使用方法,,,
6,function,1,door_window,耐用的木门厂家有哪些,,,
7,transaction,4,,打折的协作工具产品多少钱,,,
8,function,2,building_material,北京高质量的乳胶漆厂家哪款好,,,
9,qa,0,,高品质笔记本怎么保养,,,
10,brand,0,,老牌飞书厂家口碑如何,,,
11,brand,1,,口碑好的海底捞公司口碑如何,,,
12,comparison,4,,ERPVS协作工具有什么不同,,,
13,function,2,building_material,北京耐用的乳胶漆厂家推荐,,,
14,comparison,2,,手机对比冰箱区别是什么,,,
15,brand,2,,领先的手机厂家好不好,,,
16,comparison,1,,钉钉对比飞书哪个更好,,,
17,function,0,appliance,结实的空调型号选什么,,,
18,transaction,1,,实惠的钉钉产品价格表,,,
19,comparison,4,,ERP相比协作工具哪个更好,,,
20,comparison,1,,钉钉和企业微信优缺点对比,,,
21,transaction,1,,便宜的飞书产品多少钱,,,
22,decision,2,,北京理想的西装服务如何选择,,,
23,comparison,2,,手机和冰箱横向对比,,,
24,brand,2,,口碑好的手机公司简介,,,
25,comparison,2,,手机对比冰箱有什么不同,,,
26,function,4,industrial,高质量的数控机床品牌哪款好,,,
27,qa,1,,高品质热水器使用教程,,,
28,decision,2,,北京理想的西装产品如何选择,,,
29,decision,0,,推荐的钉钉服务怎么选,,,
30,qa,3,,相机怎么用,,,
31,brand,2,,知名的手机厂家怎么样,,,
32,function,4,industrial,稳定的数控机床厂家推荐,,,
33,transaction,0,,打折的华为套餐收费标准,,,
34,function,0,appliance,高质量的空调品牌哪个好,,,
35,comparison,1,,钉钉VS飞书横向对比,,,
36,brand,1,,领先的海底捞公司简介,,,
37,comparison,0,,小米与三星有什么不同,,,
38,brand,0,,老牌飞书厂家介绍,,,
39,decision,0,,适合的钉钉服务怎么选,,,
40,transaction,1,,实惠的飞书服务多少钱,,,
41,transaction,2,,上海实惠的冰箱服务多少钱,,,
42,decision,4,,理想的手机产品判断依据,,,
43,brand,3,,CRM怎么样,,,
44,decision,1,,合适的小米方案选择指南,,,
45,qa,2,,高品质热水器使用教程,,,
46,brand,4,,知名的OA软件公司好不好,,,
47,function,1,door_window,耐用的防盗门品牌有哪些,,,
48,transaction,4,,实惠的协作工具服务收费标准,,,
49,transaction,0,,打折的华为产品多少钱,,,
50,qa,2,,高品质热水器安装方法,,,
51,qa,0,,高品质笔记本使用教程,,,
52,decision,3,,笔记本如何选择,,,
53,brand,4,,知名的OA软件厂家口碑如何,,,
54,comparison,1,,钉钉对比飞书有什么不同,,,
55,function,4,industrial,高精度的数控机床型号推荐,,,
56,decision,0,,推荐的钉钉产品如何选择,,,
57,transaction,3,,OA软件收费标准,,,
58,brand,3,,CRM简介,,,
59,transaction,2,,北京特价冰箱套餐报价单,,,
60,function,4,industrial,高质量的数控机床品牌推荐一下,,,
61,qa,1,,高品质热水器怎么用,,,
62,function,3,fmcg,酸奶推荐,,,
63,decision,0,,合适的钉钉服务怎么选,,,
64,qa,4,,高品质手机使用教程,,,
65,brand,0,,口碑好的飞书公司口碑如何,,,
66,function,1,door_window,高质量的木门厂家有哪些,,,
67,function,0,appliance,耐用的空调厂家哪个好,,,
68,qa,2,,高品质热水器使用方法,,,
69,comparison,0,,华为与三星有什么不同,,,
70,transaction,4,,便宜的协作工具服务价格表,,,
71,decision,4,,推荐的手机服务判断依据,,,
72,qa,4,,高品质手机清洁方法,,,
73,decision,3,,笔记本怎么选,,,
74,transaction,2,,北京打折的冰箱服务多少钱,,,
75,qa,1,,高品质相机怎么保养,,,
76,function,0,appliance,结实的空调型号有哪些,,,
77,comparison,0,,华为对比三星优缺点对比,,,
78,comparison,2,,手机和冰箱区别是什么,,,
79,brand,1,,口碑好的星巴克公司好不好,,,
80,comparison,0,,华为VS三星横向对比,,,
81,decision,1,,适合的金蝶产品怎么选,,,
82,transaction,0,,便宜的华为服务报价单,,,
83,brand,3,,CRM介绍,,,
84,qa,3,,相机安装方法,,,
85,function,1,door_window,结实的防盗门型号选什么,,,
86,comparison,4,,ERPVS协作工具区别是什么,,,
87,qa,0,,高品质笔记本怎么用,,,
88,brand,1,,口碑好的海底捞品牌好不好,,,
89,transaction,3,,OA软件多少钱,,,
90,function,3,fmcg,酸奶哪款好,,,
91,decision,1,,合适的小米服务避坑指南,,,
92,function,3,fmcg,酸奶哪个好,,,
93,transaction,3,,OA软件价格表,,,
94,decision,4,,理想的手机服务选择标准,,,
95,brand,0,,知名的飞书厂家简介,,,
96,decision,3,,笔记本选择指南,,,
97,decision,2,,北京推荐的西装方案避坑指南,,,
98,comparison,3,,OA软件和CRM哪个更好,,,
99,qa,0,,高品质笔记本使用方法,,,
100,brand,4,,大品牌OA软件品牌评价,,,
101,transaction,0,,实惠的华为套餐价格表,,,
102,qa,1,,高品质热水器安装方法,,,
