sample_id,type,case_id,industry_tag,keyword,score,mismatch_tag,note
1,transaction,2,,北京实惠的手机产品报价单,,,
2,function,2,building_material,北京高质量的笔记本型号选什么,,,
3,decision,3,,CRM怎么选,,,
4,decision,1,,适合的苹果方案怎么选,,,
5,brand,4,,口碑好的CRM公司好不好,,,
6,brand,0,,头部小米厂家介绍,,,
7,qa,2,,高品质冰箱安装方法,,,
8,brand,1,,口碑好的用友品牌简介,,,
9,function,0,appliance,节能的小米型号哪个好,,,
10,transaction,4,,打折的CRM产品多少钱,,,
11,comparison,1,,钉钉和飞书区别是什么,,,
12,comparison,1,,钉钉和企业微信哪个更好,,,
13,function,2,building_material,上海耐用的笔记本品牌哪款好,,,
14,function,3,fmcg,ERP哪个好,,,
15,decision,2,,北京合适的ERP产品如何选择,,,
16,brand,4,,口碑好的CRM厂家口碑如何,,,
17,function,1,door_window,结实的金蝶品牌哪个好,,,
18,decision,4,,推荐的BI系统方案注意事项,,,
19,comparison,4,,ERP与协作工具哪个更好,,,
20,transaction,0,,优惠的蓝凌服务多少钱,,,
21,transaction,0,,打折的蓝凌产品报价单,,,
22,function,0,appliance,稳定的小米型号选什么,,,
23,transaction,2,,上海便宜的手机产品多少钱,,,
24,transaction,2,,北京实惠的手机产品怎么收费,,,
25,comparison,3,,OA软件和CRM哪个更好,,,
26,transaction,2,,北京打折的手机服务怎么收费,,,
27,function,3,fmcg,ERP哪款好,,,
28,comparison,2,,笔记本VS冰箱优缺点对比,,,
29,decision,1,,推荐的苹果服务选购攻略,,,
30,comparison,4,,ERP和协作工具优缺点对比,,,
31,function,4,industrial,耐用的冰箱厂家什么牌子好,,,
32,decision,3,,CRM如何选择,,,
33,qa,3,,OA软件使用方法,,,
34,comparison,2,,笔记本对比冰箱哪个更好,,,
35,function,2,building_material,北京耐用的笔记本型号哪个好,,,
36,brand,1,,头部蓝凌品牌简介,,,
37,comparison,1,,钉钉对比企业微信哪个更好,,,
38,transaction,3,,OA软件价格表,,,
39,transaction,3,,OA软件多少钱,,,
40,transaction,1,,便宜的金蝶服务报价单,,,
41,qa,1,,高品质华为怎么保养,,,
42,brand,0,,领先的小米品牌简介,,,
43,comparison,0,,华为与苹果有什么不同,,,
44,transaction,0,,优惠的蓝凌服务收费标准,,,
45,comparison,0,,华为VS三星有什么不同,,,
46,decision,3,,CRM选择指南,,,
47,brand,1,,知名的蓝凌公司怎么样,,,
48,function,4,industrial,高质量的冰箱厂家选什么,,,
49,function,1,door_window,结实的华为型号哪个好,,,
50,transaction,0,,打折的蓝凌产品价格表,,,
51,decision,1,,适合的华为服务避坑指南,,,
52,qa,4,,高品质OA软件使用方法,,,
53,brand,0,,知名的小米品牌好不好,,,
54,brand,4,,口碑好的CRM公司口碑如何,,,
55,decision,1,,值得选的苹果方案避坑指南,,,
56,brand,2,,领先的BI系统公司怎么样,,,
57,function,2,building_material,上海高质量的笔记本型号推荐,,,
58,decision,4,,理想的BI系统产品选购攻略,,,
59,qa,1,,高品质华为使用教程,,,
60,brand,2,,领先的BI系统厂家怎么样,,,
61,transaction,4,,便宜的CRM套餐最新价格,,,
62,decision,2,,上海推荐的ERP服务避坑指南,,,
63,qa,0,,高品质星巴克怎么保养,,,
64,transaction,1,,便宜的金蝶服务收费标准,,,
65,decision,2,,上海推荐的ERP产品选购攻略,,,
66,qa,1,,高品质钉钉怎么保养,,,
67,brand,2,,大品牌BI系统公司怎么样,,,
68,brand,0,,领先的小米公司口碑如何,,,
69,comparison,1,,钉钉对比飞书区别是什么,,,
70,qa,2,,高品质冰箱使用方法,,,
71,qa,0,,高品质星巴克使用方法,,,
72,brand,1,,头部用友厂家怎么样,,,
73,brand,3,,冰箱怎么样,,,
74,decision,0,,适合的苹果产品避坑指南,,,
75,qa,0,,高品质星巴克使用教程,,,
76,brand,2,,领先的BI系统品牌简介,,,
77,qa,3,,OA软件怎么用,,,
78,decision,0,,值得选的苹果服务如何选择,,,
79,comparison,4,,ERP相比协作工具区别是什么,,,
80,brand,4,,头部CRM公司介绍,,,
81,function,1,door_window,结实的金蝶品牌哪款好,,,
82,qa,4,,高品质OA软件维护,,,
83,comparison,2,,笔记本VS冰箱对比分析,,,
84,comparison,4,,ERPVS协作工具哪个更好,,,
85,decision,0,,适合的苹果方案怎么选,,,
86,qa,3,,OA软件安装方法,,,
87,transaction,1,,优惠的苹果套餐多少钱,,,
88,comparison,2,,手机VS冰箱区别是什么,,,
89,transaction,1,,优惠的苹果套餐报价单,,,
90,qa,4,,高品质OA软件保养方法,,,
91,function,0,appliance,节能的小米型号选什么,,,
92,function,1,door_window,稳定的金蝶品牌哪个好,,,
93,function,0,appliance,稳定的小米型号哪个好,,,
94,comparison,0,,华为对比三星优缺点对比,,,
95,qa,0,,高品质星巴克安装方法,,,
96,comparison,0,,小米对比三星优缺点对比,,,
97,transaction,4,,实惠的CRM套餐报价单,,,
98,function,3,fmcg,ERP推荐,,,
99,qa,1,,高品质钉钉安装方法,,,
100,decision,4,,值得选的BI系统方案怎么选,,,
101,decision,0,,值得选的苹果方案怎么选,,,
102,qa,2,,高品质冰箱使用教程,,,
