2026-04-16 12:24:55.140 [main] INFO  [] o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
2026-04-16 12:24:55.141 [main] INFO  [] o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
2026-04-16 12:24:55.141 [main] INFO  [] o.f.c.i.license.VersionPrinter - 
2026-04-16 12:24:55.156 [main] INFO  [] org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/geo (MySQL 8.0)
2026-04-16 12:24:55.212 [main] INFO  [] o.f.core.internal.command.DbValidate - Successfully validated 56 migrations (execution time 00:00.043s)
2026-04-16 12:24:55.221 [main] INFO  [] o.f.core.internal.command.DbMigrate - Current version of schema `geo`: 54
2026-04-16 12:24:55.230 [main] INFO  [] o.f.core.internal.command.DbMigrate - Migrating schema `geo` to version "55 - phase34 article generation log"
2026-04-16 12:24:55.257 [main] INFO  [] o.f.core.internal.command.DbMigrate - Successfully applied 1 migration to schema `geo`, now at version v55 (execution time 00:00.015s)
2026-04-16 12:24:56.971 [main] INFO  [] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@79c9a128, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@729a98e9, org.springframework.security.web.context.SecurityContextHolderFilter@c53c04e, org.springframework.security.web.header.HeaderWriterFilter@34ad750f, org.springframework.security.web.authentication.logout.LogoutFilter@6ea0dfaa, com.huanjing.geo.common.security.JwtAuthenticationFilter@4c56644f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2d036335, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4a3e1b5d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@51c7d472, org.springframework.security.web.session.SessionManagementFilter@57386162, org.springframework.security.web.access.ExceptionTranslationFilter@6d58ed12, org.springframework.security.web.access.intercept.AuthorizationFilter@6dacde96]
2026-04-16 12:24:57.242 [main] INFO  [] c.h.g.c.config.InitPasswordRunner - admin 密码验证通过
2026-04-16 12:26:11.541 [main] INFO  [] o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
2026-04-16 12:26:11.541 [main] INFO  [] o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
2026-04-16 12:26:11.542 [main] INFO  [] o.f.c.i.license.VersionPrinter - 
2026-04-16 12:26:11.556 [main] INFO  [] org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/geo (MySQL 8.0)
2026-04-16 12:26:11.610 [main] INFO  [] o.f.core.internal.command.DbValidate - Successfully validated 56 migrations (execution time 00:00.042s)
2026-04-16 12:26:11.618 [main] INFO  [] o.f.core.internal.command.DbMigrate - Current version of schema `geo`: 55
2026-04-16 12:26:11.620 [main] INFO  [] o.f.core.internal.command.DbMigrate - Schema `geo` is up to date. No migration necessary.
2026-04-16 12:26:13.340 [main] INFO  [] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@35ec3604, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@ab5954d, org.springframework.security.web.context.SecurityContextHolderFilter@57e9cd2, org.springframework.security.web.header.HeaderWriterFilter@67857a20, org.springframework.security.web.authentication.logout.LogoutFilter@335ff774, com.huanjing.geo.common.security.JwtAuthenticationFilter@7606bd03, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@34a48013, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@50e7d8ba, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@466f7259, org.springframework.security.web.session.SessionManagementFilter@294aaa6, org.springframework.security.web.access.ExceptionTranslationFilter@2b57dc2, org.springframework.security.web.access.intercept.AuthorizationFilter@64bb6ba7]
2026-04-16 12:26:13.618 [main] INFO  [] c.h.g.c.config.InitPasswordRunner - admin 密码验证通过
2026-04-16 12:30:47.344 [main] INFO  [] o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
2026-04-16 12:30:47.345 [main] INFO  [] o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
2026-04-16 12:30:47.345 [main] INFO  [] o.f.c.i.license.VersionPrinter - 
2026-04-16 12:30:47.359 [main] INFO  [] org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/geo (MySQL 8.0)
2026-04-16 12:30:47.412 [main] INFO  [] o.f.core.internal.command.DbValidate - Successfully validated 56 migrations (execution time 00:00.040s)
2026-04-16 12:30:47.420 [main] INFO  [] o.f.core.internal.command.DbMigrate - Current version of schema `geo`: 55
2026-04-16 12:30:47.421 [main] INFO  [] o.f.core.internal.command.DbMigrate - Schema `geo` is up to date. No migration necessary.
